"gameID","date","homeTeam","awayTeam","timeLeft","playerID","player","playerFull","playerTeam","type","number","result","ownScore","oppScore","secondsLeft","minutesLeft","thisNumber","prevTries","totalNumber","isHomeTeam","otherTeam","resultScoreDiff","success","prevScoreDiff","closeness","ahead","under5min","within5","clutch55","overtime","down1","tie"
"20120107MIANJN","2012-01-07","NJN","MIA","00:37:53",NA,NA,NA,"NJN","Normal","1 of 1","Missed",14,25,2273,37,"1",0,"1",TRUE,"MIA",-11,FALSE,-11,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:37:32",NA,NA,NA,"NJN","Normal","1 of 2","Made",15,25,2252,37,"1",0,"2",TRUE,"MIA",-10,TRUE,-11,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:37:32",NA,NA,NA,"NJN","Normal","2 of 2","Made",16,25,2252,37,"2",1,"2",TRUE,"MIA",-9,TRUE,-10,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:13:19",NA,NA,NA,"NJN","Normal","1 of 2","Missed",59,74,799,13,"1",0,"2",TRUE,"MIA",-15,FALSE,-15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:13:19",NA,NA,NA,"NJN","Normal","2 of 2","Missed",59,74,799,13,"2",1,"2",TRUE,"MIA",-15,FALSE,-15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:09:18",NA,NA,NA,"NJN","Normal","1 of 2","Made",70,85,558,9,"1",0,"2",TRUE,"MIA",-15,TRUE,-16,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:09:18",NA,NA,NA,"NJN","Normal","2 of 2","Made",71,85,558,9,"2",1,"2",TRUE,"MIA",-14,TRUE,-15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:07:41",NA,NA,NA,"NJN","Normal","1 of 2","Missed",73,89,461,7,"1",0,"2",TRUE,"MIA",-16,FALSE,-16,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:07:41",NA,NA,NA,"NJN","Normal","2 of 2","Missed",73,89,461,7,"2",1,"2",TRUE,"MIA",-16,FALSE,-16,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120107MIANJN","2012-01-07","NJN","MIA","00:06:17",NA,NA,NA,"NJN","Technical","1 of 1","Made",74,89,377,6,"1",0,"1",TRUE,"MIA",-15,TRUE,-16,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120109ATLNJN","2012-01-09","NJN","ATL","00:36:32",NA,NA,NA,"NJN","Normal","1 of 2","Made",15,29,2192,36,"1",0,"2",TRUE,"ATL",-14,TRUE,-15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120109ATLNJN","2012-01-09","NJN","ATL","00:36:32",NA,NA,NA,"NJN","Normal","2 of 2","Made",16,29,2192,36,"2",1,"2",TRUE,"ATL",-13,TRUE,-14,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120109ATLNJN","2012-01-09","NJN","ATL","00:24:36",NA,NA,NA,"NJN","Normal","1 of 2","Made",44,53,1476,24,"1",0,"2",TRUE,"ATL",-9,TRUE,-10,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120109ATLNJN","2012-01-09","NJN","ATL","00:24:36",NA,NA,NA,"NJN","Normal","2 of 2","Made",45,53,1476,24,"2",1,"2",TRUE,"ATL",-8,TRUE,-9,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120111NJNDEN","2012-01-11","DEN","NJN","00:24:10",NA,NA,NA,"NJN","Normal","1 of 2","Missed",51,68,1450,24,"1",0,"2",FALSE,"DEN",-17,FALSE,-17,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120111NJNDEN","2012-01-11","DEN","NJN","00:24:10",NA,NA,NA,"NJN","Normal","2 of 2","Made",52,68,1450,24,"2",1,"2",FALSE,"DEN",-16,TRUE,-17,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120114NJNUTA","2012-01-14","UTA","NJN","00:28:27",NA,NA,NA,"NJN","Normal","1 of 2","Made",32,44,1707,28,"1",0,"2",FALSE,"UTA",-12,TRUE,-13,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20120114NJNUTA","2012-01-14","UTA","NJN","00:28:27",NA,NA,NA,"NJN","Normal","2 of 2","Made",33,44,1707,28,"2",1,"2",FALSE,"UTA",-11,TRUE,-12,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
